brand,model,price_per_unit,currency,market,pack_size
TP-Link,Deco BE25,73,EUR,DE,1
Amazon eero,eero 7,80,EUR,DE,1
TP-Link,Deco X50,58,EUR,DE,1
Google,Nest Wifi Pro,153,EUR,DE,1
NETGEAR,Orbi 370,217,EUR,DE,1
